#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
slavery_modifier_3_desc;While still vastly outnumbered by free workers, slaves still provide a noticeable portion of this province's labor force.;;;;;;;;;;;;;
slavery_modifier_4_desc;While still vastly outnumbered by free workers, slaves still provide a noticeable portion of this province's labor force.;;;;;;;;;;;;;
slavery_modifier_5_desc;Your provinces has many slave camps, which provide a large enough labor force to form a viable alternative to free servants.;;;;;;;;;;;;;
slavery_modifier_6_desc;Your provinces has many slave camps, which provide a large enough labor force to form a viable alternative to free servants.;;;;;;;;;;;;;
slavery_modifier_7_desc;Your provinces has a vast number of slaves, The majority of labor is preformed by slaves.;;;;;;;;;;;;;
slavery_modifier_8_desc;Your provinces has a vast number of slaves, The majority of labor is preformed by slaves.;;;;;;;;;;;;;
slavery_modifier_9_desc;Tens of thousands of slaves dwell in your provinces, and provide the bedrock of its economies. Nearly all important labor is preformed by slaves.;;;;;;;;;;;;;
slavery_modifier_10_desc;Tens of thousands of slaves dwell in your provinces, and provide the bedrock of its economies. Nearly all important labor is preformed by slaves.;;;;;;;;;;;;;
slavery_modifier_base_desc;Base Bonus;;;;;;;;;;;;;
ca_colosseum;Small Colosseum;;;;;;;;;;;;;
ca_colosseum_2;Big Colosseum;;;;;;;;;;;;;
bg_fight_pit;A small amphiteather where epic fights attract many visitors.;;;;;;;;;;;;;
bg_colosseum;A Massive circular structure where crows gather to see spectacular fights.;;;;;;;;;;;;;
ct_colosseum;Small Colosseum;;;;;;;;;;;;;
ct_colosseum_2;Big Colosseum;;;;;;;;;;;;;
ca_unsullied_1;Unsullied Barracks 1;;;;;;;;;;;;;
ca_unsullied_2;Unsullied Barracks 2;;;;;;;;;;;;;
ca_unsullied_3;Unsullied Barracks 3;;;;;;;;;;;;;
ca_unsullied_4;Unsullied Barracks 4;;;;;;;;;;;;;
ca_unsullied_5;Unsullied Barracks 5;;;;;;;;;;;;;
ca_unsullied_6;Unsullied Barracks 6;;;;;;;;;;;;;
ca_unsullied_7;Unsullied Barracks 7;;;;;;;;;;;;;
ca_unsullied_8;Unsullied Barracks 8;;;;;;;;;;;;;
ca_unsullied_9;Unsullied Barracks 9;;;;;;;;;;;;;
ca_unsullied_10;Unsullied Barracks 10;;;;;;;;;;;;;
ct_unsu;Unsullied Legion;;;;;;;;;;;;;
EVDESCcolony50;A group of settlers has come to our colony at [From.Capital.GetName], we expect the next group to arrive in  [Root.colony_years.GetValue] Years;;;;;;;;;;;;;
OPTtimer;Colony Skill: [Root.colony_years.GetValue];;;;;;;;;;;;;
EVTTOOLTIPSLAVERYRAID;Our forces have captured §G[ROOT.slaves_captured.GetValue]§! slaves for our camps.;;;;;;;;;;;;;
